,rod,vyskyt_doba,vyskyt_misto,jedla,tren_tvar,tren_konzistence,tren_povrch,tren_barva,hymenofor,klobouk_barva,klobouk_tvar,klobouk_povrch,prsten,pochva
Čirůvka topolová (Tricholoma populinum),Tricholoma,"srpen, září, říjen","listnatý les, smíšený les, parky, sady, jiné",jedlá,válcovitý,tvrdá,"hladký, ojíněný",bílá,lupeny,"hnědá, šedá","plochý, klenutý",hladký,nemá,nemá
Čirůvka zelánka (Tricholoma equestre),Tricholoma,"září, říjen, listopad, prosinec","jehličnatý les, listnatý les",jedlá,válcovitý,tvrdá,"hladký, vláknitý","žlutá, zelená",lupeny,"žlutá, zelená, olivová","polokulovitý, plochý, klenutý",hladký,nemá,nemá
Čirůvka zemní (Tricholoma terreum),Tricholoma,"září, říjen, listopad, prosinec","jehličnatý les, smíšený les, parky, zahrady, jiné",jedlá,válcovitý,křehká,"vláknitý, zrnitý","bílá, šedá",lupeny,"hnědá, šedá","plochý, s hrbolkem, zvoncovitý",šupinkatý,nemá,nemá
Destice chřapáčová (Discina ancilis),Discina,"duben, květen","jehličnatý les, smíšený les",jedlá,-,křehká,-,-,jiné,"hnědá, okrová",-,"hrbolkatý, vrásčitý",-,-
Hadovka smrdutá (Phallus impudicus),Phallus,"červen, červenec, srpen, září, říjen","jehličnatý les, listnatý les, smíšený les, parky, křoviny, jiné",v mládí jedlá,"válcovitý, nahoru ztenčující",dutá,hladký,bílá,-,"zelená, olivová",zvoncovitý,slizký,nemá,má
Hlíva citronová (Pleurotus citrinopileatus),Pleurotus,"červen, červenec, srpen, září, říjen, listopad","listnatý les, smíšený les, parky, sady, zahrady",jedlá,válcovitý,pružná,hladký,"žlutá, bílá",lupeny,žlutá,nálevkovitý,hladký,nemá,nemá
Hlíva dubová (Pleurotus dryinus),Pleurotus,"srpen, září, říjen, listopad, prosinec","listnatý les, smíšený les, parky, sady, zahrady, mýtiny",jedlá,válcovitý,tvrdá,hladký,bílá,lupeny,"bílá, šedá","plochý, excentrický, klenutý",lysý,má,nemá
Hlíva ústřičná (Pleurotus ostreatus),Pleurotus,"leden, únor, březen, říjen, listopad, prosinec","listnatý les, smíšený les, parky, zahrady, mýtiny, jiné",jedlá,válcovitý,tvrdá,chlupatý,bílá,lupeny,"hnědá, šedá, fialová",excentrický,"hladký, lysý",nemá,nemá
Hnojník inkoustový (Coprinopsis atramentaria),Coprinopsis,"květen, červen, červenec, srpen, září, říjen, listopad","louky, pole, pastviny, parky, sady, zahrady, paseky, jiné",jedlá,válcovitý,měkká,"hladký, lesklý",bílá,lupeny,"hnědá, bílá, šedá","válcovitý, zvoncovitý",lysý,nemá,nemá
Hnojník obecný (Coprinus comatus),Coprinus,"duben, květen, červen, červenec, srpen, září, říjen, listopad","louky, pole, pastviny, parky, sady, zahrady, paseky",jedlá,válcovitý,křehká,"hladký, lesklý",bílá,lupeny,bílá,"válcovitý, zvoncovitý",šupinkatý,má,nemá
Hnojník třpytivý (Coprinellus micaceus),Coprinellus,"květen, červen, červenec, srpen, září, říjen, listopad","parky, sady, zahrady, stráně, mýtiny, jiné",jedlá,válcovitý,křehká,lesklý,bílá,lupeny,"hnědá, okrová","vejčitý, zvoncovitý",-,nemá,nemá
Hnojník zaječí (Coprinopsis lagopus),Coprinopsis,"červen, červenec, srpen, září, říjen","listnatý les, smíšený les, parky, sady, křoviny, jiné",nejedlá,válcovitý,křehká,vláknitý,bílá,lupeny,"hnědá, bílá, šedá","válcovitý, plochý, klenutý",vláknitý,nemá,nemá
Holubinka doupňáková (Russula grisea),Russula,"červen, červenec, srpen, září, říjen","listnatý les, smíšený les",jedlá,válcovitý,křehká,-,"bílá, růžová",lupeny,"šedá, modrá","plochý, nálevkovitý, vmáčklý, klenutý",hladký,nemá,nemá
Holubinka chromová (Russula claroflava),Russula,"červenec, srpen, září, říjen","listnatý les, smíšený les",jedlá,válcovitý,křehká,-,"bílá, šedá",lupeny,"žlutá, oranžová","polokulovitý, plochý, vmáčklý, klenutý",lysý,nemá,nemá
Holubinka jahodová (Russula paludosa),Russula,"červenec, srpen, září","jehličnatý les, rašeliniště, jiné",jedlá,válcovitý,křehká,hladký,bílá,lupeny,červená,"polokulovitý, plochý, vmáčklý, klenutý",hladký,nemá,nemá
Holubinka namodralá (Russula cyanoxantha),Russula,"červenec, srpen, září, říjen","jehličnatý les, listnatý les, smíšený les",jedlá,válcovitý,křehká,"hladký, vláknitý","bílá, růžová, fialová",lupeny,"zelená, modrá, fialová, olivová","polokulovitý, kulovitý, plochý, vmáčklý","hladký, vrásčitý",nemá,nemá
Holubinka nazelenalá (Russula virescens),Russula,"červen, červenec, srpen, září, říjen","jehličnatý les, listnatý les, smíšený les",jedlá,válcovitý,křehká,hladký,bílá,lupeny,zelená,"kulovitý, plochý, vmáčklý, klenutý",sametový,nemá,nemá
Holubinka smrdutá (Russula foetens),Russula,"červenec, srpen, září, říjen","jehličnatý les, listnatý les, smíšený les",nejedlá,válcovitý,křehká,hladký,bílá,lupeny,"hnědá, žlutá","kulovitý, plochý, vmáčklý, vypouklý",slizký,nemá,nemá
Holubinka vrhavka (Russula emetica),Russula,"červenec, srpen, září, říjen","jehličnatý les, smíšený les, rašeliniště",mírně jedovatá,válcovitý,křehká,"hladký, vláknitý",bílá,lupeny,červená,"polokulovitý, plochý, vmáčklý, klenutý",lysý,nemá,nemá
Hřib borový (Boletus pinophilus),Boletus,"květen, červen, červenec, srpen, září, říjen","jehličnatý les, smíšený les, rašeliniště, kosodřevina",jedlá,"válcovitý, kyjovitý, soudkovitý",tvrdá,síťkovaný,"hnědá, bílá, červená, okrová",rourky,hnědá,"polokulovitý, plochý, klenutý","hrbolkatý, sametový, jamkatý",nemá,nemá
Hřib bronzový (Boletus aereus),Boletus,"květen, červen, červenec, srpen, září, říjen","listnatý les, smíšený les",jedlá,soudkovitý,tvrdá,síťkovaný,"hnědá, okrová",rourky,hnědá,"polokulovitý, klenutý",hrbolkatý,nemá,-
Hřib dubový (Boletus aestivalis),Boletus,"květen, červen, červenec, srpen, září, říjen, listopad","listnatý les, smíšený les, parky",jedlá,"válcovitý, kyjovitý, soudkovitý",tvrdá,síťkovaný,hnědá,rourky,"hnědá, šedá","polokulovitý, plochý, klenutý",hladký,nemá,nemá
Hřib dutonohý (Boletus cavipes),Boletus,"červenec, srpen, září, říjen","jehličnatý les, smíšený les",jedlá,válcovitý,dutá,-,"hnědá, žlutá",rourky,"hnědá, žlutá","kuželovitý, s hrbolkem","šupinkatý, plstnatý",má,nemá
Hřib hnědý (Xerocomus badius),Xerocomus,"červen, červenec, srpen, září, říjen, listopad","jehličnatý les, smíšený les",jedlá,"válcovitý, dolů ztenčující, kyjovitý, soudkovitý",tvrdá,vláknitý,"hnědá, žlutá, okrová",rourky,hnědá,"polokulovitý, plochý",hladký,nemá,nemá
Hřib koloděj (Boletus luridus),Boletus,"květen, červen, červenec, srpen, září, říjen","listnatý les, smíšený les, parky",jedlá,"válcovitý, kyjovitý, soudkovitý",tvrdá,síťkovaný,"hnědá, žlutá, červená",rourky,"hnědá, žlutá, olivová","polokulovitý, plochý, klenutý, vypouklý",plstnatý,nemá,nemá
Hřib kovář (Boletus erythropus),Boletus,"květen, červen, červenec, srpen, září, říjen, listopad","jehličnatý les, smíšený les",jedlá,"válcovitý, kyjovitý, soudkovitý",tvrdá,tečkovaný,"žlutá, červená, olivová",rourky,hnědá,"polokulovitý, plochý, klenutý, vypouklý",sametový,nemá,nemá
Hřib nachovýtrusý (Porphyrellus pseudoscaber),Porphyrellus,"červenec, srpen, září, říjen","jehličnatý les, smíšený les",jedlá,"válcovitý, kyjovitý",měkká,hladký,"hnědá, šedá",rourky,"hnědá, šedá","polokulovitý, plochý, klenutý","hladký, sametový",nemá,nemá
Hřib peprný (Boletus piperatus),Boletus,"červen, červenec, srpen, září, říjen, listopad","jehličnatý les, listnatý les, smíšený les, mýtiny",jedlá,"válcovitý, dolů ztenčující",tvrdá,"hladký, lysý","hnědá, žlutá, okrová",rourky,"hnědá, žlutá, okrová","polokulovitý, plochý",slizký,nemá,nemá
Hřib plstnatý (Boletus subtomentosus),Boletus,"červen, červenec, srpen, září, říjen","jehličnatý les, listnatý les, smíšený les",jedlá,"válcovitý, dolů ztenčující",tvrdá,vláknitý,"hnědá, žlutá",rourky,"hnědá, žlutá, olivová, okrová","polokulovitý, plochý","sametový, plstnatý",nemá,-
Hřib satan (Boletus satanas),Boletus,"červenec, srpen, září, říjen","listnatý les, smíšený les, parky",jedovatá,soudkovitý,tvrdá,síťkovaný,"hnědá, červená, okrová",rourky,"bílá, šedá","polokulovitý, plochý, vypouklý",hrbolkatý,nemá,nemá
Hřib siný (Gyroporus cyanescens),Gyroporus,"červenec, srpen, září, říjen","jehličnatý les, listnatý les, smíšený les",jedlá,"válcovitý, soudkovitý",tvrdá,plstnatý,"žlutá, okrová",rourky,"žlutá, okrová",klenutý,plstnatý,nemá,nemá
Hřib smrkový (Boletus edulis),Boletus,"červen, červenec, srpen, září, říjen, listopad","jehličnatý les, smíšený les",jedlá,"válcovitý, kyjovitý, soudkovitý",tvrdá,síťkovaný,"bílá, okrová",rourky,"hnědá, bílá, okrová","polokulovitý, plochý, vypouklý",hladký,nemá,nemá
Hřib strakoš (Boletus variegatus),Boletus,"červenec, srpen, září, říjen, listopad","jehličnatý les, smíšený les, kosodřevina",jedlá,"válcovitý, kyjovitý",tvrdá,"hladký, plstnatý, zrnitý","hnědá, žlutá",rourky,"žlutá, olivová","polokulovitý, plochý",šupinkatý,nemá,nemá
Hřib žlučník (Tylopilus felleus),Tylopilus,"červen, červenec, srpen, září, říjen","jehličnatý les, smíšený les, jiné",nejedlá,"válcovitý, kyjovitý, soudkovitý",tvrdá,síťkovaný,"hnědá, žlutá, bílá, okrová",rourky,"hnědá, šedá, okrová",polokulovitý,plstnatý,nemá,nemá
Hřib žlutomasý (Xerocomus chrysenteron),Xerocomus,"červen, červenec, srpen, září, říjen, listopad","jehličnatý les, listnatý les, smíšený les, louky, parky, sady, zahrady, křoviny, stráně, mýtiny, jiné",jedlá,válcovitý,křehká,vláknitý,"žlutá, červená, růžová",rourky,"hnědá, šedá","polokulovitý, plochý",plstnatý,nemá,nemá
Jidášovo ucho (Hirneola auricula judae),Hirneola,"leden, únor, březen, duben, květen, červen, červenec, srpen, září, říjen, listopad, prosinec","listnatý les, smíšený les, parky, sady, zahrady, křoviny, jiné",jedlá,-,-,-,-,-,-,-,-,-,-
Kačenka česká (Ptychoverpa bohemica),Ptychoverpa,"březen, duben, květen","listnatý les, parky, sady, zahrady, křoviny",jedlá,válcovitý,dutá,-,"bílá, okrová",jiné,"hnědá, žlutá, olivová",zvoncovitý,-,nemá,nemá
Klouzek kravský (Boletus bovinus),Boletus,"červen, červenec, srpen, září, říjen, listopad","jehličnatý les, smíšený les, parky, rašeliniště, kosodřevina",jedlá,válcovitý,měkká,hladký,"hnědá, žlutá, oranžová, okrová",rourky,"hnědá, žlutá, oranžová, okrová","prohloubený, plochý, klenutý",slizký,nemá,nemá
Klouzek obecný (Suillus luteus),Suillus,"červen, červenec, srpen, září, říjen, listopad","jehličnatý les, parky, zahrady, mýtiny, rašeliniště, kosodřevina",jedlá,válcovitý,měkká,zrnitý,"hnědá, žlutá",rourky,"hnědá, žlutá","polokulovitý, klenutý",slizký,má,nemá
Klouzek sličný (Boletus grevillei),Boletus,"červen, červenec, srpen, září, říjen, listopad","jehličnatý les, smíšený les, mýtiny",jedlá,válcovitý,měkká,hladký,"žlutá, oranžová",rourky,"žlutá, oranžová","polokulovitý, plochý, s hrbolkem",slizký,má,nemá
Klouzek slizký (Boletus aeruginascens),Boletus,"červen, červenec, srpen, září, říjen","jehličnatý les, smíšený les, mýtiny",jedlá,válcovitý,měkká,síťkovaný,"žlutá, šedá",rourky,"hnědá, šedá, olivová","plochý, klenutý",slizký,má,nemá
Klouzek zrnitý (Boletus granulatus),Boletus,"červen, červenec, srpen, září, říjen, listopad","jehličnatý les, smíšený les, kosodřevina",jedlá,válcovitý,měkká,hladký,žlutá,rourky,"hnědá, žlutá","polokulovitý, plochý",slizký,nemá,nemá
Kotrč kadeřavý (Sparassis crispa),Sparassis,"červenec, srpen, září, říjen","jehličnatý les, smíšený les",jedlá,-,křehká,hladký,"bílá, okrová",jiné,"bílá, okrová",kulovitý,-,nemá,nemá
Kozák bílý (Leccinum holopus),Leccinum,"červenec, srpen, září, říjen","listnatý les, smíšený les, stráně, rašeliniště",jedlá,"válcovitý, kyjovitý",tvrdá,zrnitý,bílá,rourky,bílá,"polokulovitý, vypouklý","hladký, plstnatý",nemá,nemá
Kozák březový (Boletus scaber),Boletus,"červenec, srpen, září, říjen, listopad","listnatý les, smíšený les, parky",jedlá,"válcovitý, nahoru ztenčující, kyjovitý",tvrdá,zrnitý,"bílá, šedá",rourky,"hnědá, šedá","polokulovitý, klenutý",plstnatý,nemá,nemá
Kozák habrový (Boletus carpini),Boletus,"červen, červenec, srpen, září, říjen","listnatý les, smíšený les",jedlá,"válcovitý, nahoru ztenčující, kyjovitý",tvrdá,zrnitý,"hnědá, šedá",rourky,"hnědá, šedá, olivová, okrová","polokulovitý, klenutý","hrbolkatý, jamkatý",nemá,nemá
Křemenáč borový (Leccinum vulpinum),Leccinum,"červenec, srpen, září, říjen","jehličnatý les, smíšený les",jedlá,"válcovitý, kyjovitý",tvrdá,-,bílá,rourky,"hnědá, červená","polokulovitý, plochý, vypouklý",sametový,nemá,nemá
Křemenáč březový (Leccinum versipelle),Leccinum,"červen, červenec, srpen, září, říjen","listnatý les, smíšený les, parky",jedlá,"válcovitý, nahoru ztenčující, kyjovitý, soudkovitý",tvrdá,zrnitý,"bílá, šedá",rourky,"žlutá, červená, oranžová","polokulovitý, plochý, vypouklý","sametový, šupinkatý",nemá,nemá
Křemenáč dubový (Leccinum quercinum),Leccinum,"červen, červenec, srpen, září, říjen",listnatý les,jedlá,"válcovitý, kyjovitý",tvrdá,hladký,bílá,rourky,"hnědá, červená, oranžová","polokulovitý, plochý, vypouklý",sametový,nemá,nemá
Křemenáč osikový (Leccinum aurantiacum),Leccinum,"červen, červenec, srpen, září, říjen","listnatý les, smíšený les, jiné",jedlá,"válcovitý, kyjovitý",tvrdá,matný,"bílá, šedá",rourky,"červená, oranžová","polokulovitý, plochý, vypouklý",sametový,nemá,nemá
Křemenáč smrkový (Leccinum piceinum),Leccinum,"červenec, srpen, září, říjen","jehličnatý les, smíšený les",jedlá,válcovitý,tvrdá,zrnitý,bílá,rourky,"hnědá, červená","polokulovitý, plochý, vypouklý",plstnatý,nemá,nemá
Květnatec Archerův (Clathrus Archeri),Clathrus,"květen, červen, červenec, srpen, září, říjen",jiné,nejedlá,válcovitý,-,hladký,bílá,jiné,červená,-,-,nemá,má
Lakovka ametystová (Laccaria amethystina),Laccaria,"červen, červenec, srpen, září, říjen","jehličnatý les, listnatý les, smíšený les",jedlá,válcovitý,pružná,vláknitý,fialová,lupeny,fialová,"plochý, vmáčklý, zvoncovitý, klenutý",hladký,nemá,nemá
Lakovka obecná (Laccaria laccata),Laccaria,"červen, červenec, srpen, září, říjen","jehličnatý les, listnatý les, smíšený les",jedlá,válcovitý,pružná,vláknitý,"hnědá, červená",lupeny,"hnědá, červená","plochý, vmáčklý, zvoncovitý, klenutý",hladký,nemá,nemá
Lakovka statná (Laccaria proxima),Laccaria,"červen, červenec, srpen, září, říjen","jehličnatý les, listnatý les, smíšený les",jedlá,válcovitý,pružná,vláknitý,"hnědá, červená",lupeny,"hnědá, červená","plochý, vmáčklý, zvoncovitý, klenutý",šupinkatý,nemá,nemá
Límcovka měděnková (Stropharia aeruginosa),Stropharia,"srpen, září, říjen, listopad","jehličnatý les, smíšený les",jedlá,válcovitý,dutá,-,zelená,lupeny,"zelená, okrová","polokulovitý, plochý, vypouklý","šupinkatý, slizký, se zbytky plachetky (vločkatý)",má,nemá
Liška ametystová (Cantharellus amethysteus),Cantharellus,"červen, červenec, srpen, září, říjen","jehličnatý les, listnatý les, smíšený les",jedlá,"válcovitý, dolů ztenčující",tvrdá,"hladký, lysý",žlutá,jiné,"žlutá, fialová","plochý, nálevkovitý, klenutý","hladký, šupinkatý",nemá,nemá
Liška nálevkovitá (Cantharellus tubaeformis),Cantharellus,"srpen, září, říjen, listopad",jehličnatý les,jedlá,válcovitý,dutá,hrbolkatý,"žlutá, okrová",jiné,"hnědá, žlutá, šedá, okrová","nálevkovitý, vmáčklý","vrásčitý, šupinkatý",nemá,nemá
Liška obecná (Cantharellus cibarius),Cantharellus,"červen, červenec, srpen, září, říjen","jehličnatý les, listnatý les, smíšený les, mýtiny",jedlá,"válcovitý, dolů ztenčující",tvrdá,"hladký, lysý",žlutá,jiné,žlutá,"plochý, nálevkovitý, klenutý","hladký, lysý",nemá,nemá
Liška žlutavá (Cantharellus aurora),Cantharellus,"srpen, září, říjen",jehličnatý les,jedlá,válcovitý,dutá,hrbolkatý,"žlutá, oranžová",jiné,"hnědá, okrová","nálevkovitý, vmáčklý",vláknitý,nemá,nemá
Lištička pomerančová (Hygrophoropsis aurantiaca),Hygrophoropsis,"srpen, září, říjen, listopad",jehličnatý les,jedlá,"válcovitý, dolů ztenčující",dutá,hladký,"žlutá, oranžová",lupeny,"žlutá, oranžová","plochý, nálevkovitý, vmáčklý, klenutý","hladký, lysý",nemá,nemá
Lošák jelení (Sarcodon imbricatus),Sarcodon,"srpen, září, říjen",jehličnatý les,jedlá,válcovitý,tvrdá,hladký,"hnědá, šedá",ostny,"hnědá, šedá","plochý, vmáčklý, klenutý",šupinkatý,nemá,nemá
Lošák ryšavý (Hydnum rufescens),Hydnum,"červenec, srpen, září, říjen","jehličnatý les, listnatý les, smíšený les",jedlá,válcovitý,křehká,hladký,bílá,ostny,"žlutá, oranžová","plochý, vmáčklý, klenutý","hrbolkatý, jamkatý",nemá,nemá
Lošák zprohýbaný (Hydnum repandum),Hydnum,"červenec, srpen, září, říjen","jehličnatý les, listnatý les, smíšený les",jedlá,válcovitý,křehká,hladký,bílá,ostny,"žlutá, bílá","plochý, vmáčklý, klenutý","hrbolkatý, jamkatý",nemá,nemá
Lysohlávka kopinatá (Psilocybe semilanceata),Psilocybe,"srpen, září, říjen","louky, pastviny, paseky, jiné",jedovatá,válcovitý,křehká,hladký,hnědá,lupeny,"hnědá, žlutá, šedá, olivová","kuželovitý, s hrbolkem","hladký, lysý",nemá,nemá
Muchomůrka citrónová (Amanita citrina),Amanita,"červenec, srpen, září, říjen, listopad","jehličnatý les, listnatý les, smíšený les",mírně jedovatá,"válcovitý, nahoru ztenčující",měkká,hladký,"žlutá, zelená, bílá",lupeny,"žlutá, zelená, bílá","polokulovitý, plochý, klenutý",se zbytky plachetky (vločkatý),má,má
Muchomůrka červená (Amanita muscaria),Amanita,"červenec, srpen, září, říjen","jehličnatý les, listnatý les, smíšený les, mýtiny",jedovatá,"válcovitý, hlízovitý",měkká,hladký,bílá,lupeny,"červená, oranžová","kulovitý, plochý, klenutý",se zbytky plachetky (vločkatý),má,nemá
Muchomůrka královská (Amanita regalis),Amanita,"červenec, srpen, září, říjen",jehličnatý les,jedovatá,"válcovitý, hlízovitý",měkká,"hladký, bradavčitý","bílá, okrová",lupeny,"hnědá, žlutá, okrová","kulovitý, plochý, klenutý",se zbytky plachetky (vločkatý),má,nemá
Muchomůrka porfyrová (Amanita porphyria),Amanita,"červenec, srpen, září, říjen","jehličnatý les, listnatý les, smíšený les",mírně jedovatá,"válcovitý, hlízovitý",měkká,hladký,"šedá, fialová",lupeny,"hnědá, šedá, fialová","plochý, zvoncovitý, klenutý","hladký, se zbytky plachetky (vločkatý)",má,má
Muchomůrka pošvatá (Amanita vaginata),Amanita,"červen, červenec, srpen, září, říjen","jehličnatý les, listnatý les, smíšený les",jedlá,"válcovitý, nahoru ztenčující",křehká,hladký,"bílá, šedá",lupeny,"hnědá, šedá","plochý, s hrbolkem, zvoncovitý, klenutý","hladký, lysý, se zbytky plachetky (vločkatý)",nemá,má
Muchomůrka růžovka (Amanita rubescens),Amanita,"červen, červenec, srpen, září, říjen, listopad","jehličnatý les, listnatý les, smíšený les, jiné",jedlá,válcovitý,křehká,hladký,"bílá, růžová",lupeny,"bílá, červená, růžová","kulovitý, plochý, klenutý",se zbytky plachetky (vločkatý),má,nemá
Muchomůrka šedivka (Amanita spissa),Amanita,"červenec, srpen, září, říjen, listopad","jehličnatý les, listnatý les, smíšený les, jiné",jedlá,"válcovitý, kyjovitý",měkká,hladký,"bílá, šedá",lupeny,"hnědá, šedá","kulovitý, plochý, vejčitý, klenutý","hladký, se zbytky plachetky (vločkatý)",má,nemá
Muchomůrka tygrovaná (Amanita pantherina),Amanita,"červenec, srpen, září, říjen","jehličnatý les, listnatý les, smíšený les",smrtelně jedovatá,"válcovitý, hlízovitý",měkká,"hladký, lesklý",bílá,lupeny,"hnědá, šedá","kulovitý, plochý, klenutý",se zbytky plachetky (vločkatý),má,má
Muchomůrka zelená (Amanita phalloides),Amanita,"červenec, srpen, září, říjen","listnatý les, smíšený les",smrtelně jedovatá,"válcovitý, nahoru ztenčující, hlízovitý",měkká,-,bílá,lupeny,"hnědá, zelená, olivová","polokulovitý, plochý, zvoncovitý, klenutý","lysý, se zbytky plachetky (vločkatý)",má,má
Ohnivec rakouský (Sarcoscypha austriaca),Sarcoscypha,"leden, únor, březen, duben, květen, prosinec","listnatý les, smíšený les, parky, křoviny",nejedlá,-,pružná,-,-,jiné,červená,nálevkovitý,"hladký, lysý",-,-
Opeňka měnlivá (Kuehneromyces mutabilis),Kuehneromyces,"květen, červen, červenec, srpen, září, říjen, listopad","listnatý les, smíšený les, mýtiny",jedlá,válcovitý,tvrdá,-,hnědá,lupeny,"hnědá, žlutá","polokulovitý, plochý, klenutý","hladký, slizký",má,nemá
Oříškovec Tulasneův (Hydnotrya tulasnei),Hydnotrya,"červen, červenec, srpen, září, říjen","jehličnatý les, listnatý les, smíšený les",jedlá,-,křehká,-,-,jiné,"hnědá, okrová",kulovitý,"hrbolkatý, jamkatý",nemá,nemá
Pařezník jemný (Panellus mitis),Panellus,"srpen, září, říjen, listopad, prosinec","jehličnatý les, smíšený les",nejedlá,dolů ztenčující,pružná,vláknitý,bílá,lupeny,bílá,excentrický,hladký,nemá,nemá
Pařezník obecný (Panellus stipticus),Panellus,"březen, duben, květen, červen, červenec, srpen, září, říjen, listopad","listnatý les, smíšený les, mýtiny",nejedlá,"dolů ztenčující, kyjovitý",pružná,lysý,okrová,lupeny,"hnědá, žlutá, okrová","plochý, vmáčklý",plstnatý,nemá,nemá
Pařezník pozdní (Panellus serotinus),Panellus,"leden, září, říjen, listopad, prosinec","listnatý les, smíšený les, parky, zahrady, mýtiny",jedlá,"dolů ztenčující, kyjovitý",pružná,plstnatý,"žlutá, oranžová, okrová",lupeny,"hnědá, zelená, šedá, olivová","plochý, klenutý","šupinkatý, plstnatý",nemá,nemá
